run_name,target_host,n_candidates,mean_target_score,best_target_score,mean_strict_manifold,mean_pll_delta,validated_fraction
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed42,Pseudomonas,50,0.272894105110176,0.297622407106994,0.9978399014472962,1.4982109781106314,0.0
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed43,Pseudomonas,50,0.273380499356364,0.3051548695034918,0.9978086870908737,1.7102552517255147,0.0
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed44,Pseudomonas,50,0.2813519096096916,0.3249375912956388,0.9977858680486679,1.6224406385421752,0.0
kleb_to_pseudomonas_structural_entropy_diversity_seed42,Pseudomonas,50,0.272894105110176,0.297622407106994,0.9978399014472962,1.4982109781106314,0.0
kleb_to_pseudomonas_structural_entropy_diversity_seed43,Pseudomonas,50,0.273380499356364,0.3051548695034918,0.9978086870908737,1.7102552517255147,0.0
kleb_to_pseudomonas_structural_entropy_diversity_seed44,Pseudomonas,50,0.2813519096096916,0.3249375912956388,0.9977858680486679,1.6224406385421752,0.0
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed42,Pseudomonas,50,0.272894105110176,0.297622407106994,0.9978399014472962,1.4982109781106314,0.0
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed43,Pseudomonas,50,0.273380499356364,0.3051548695034918,0.9978086870908737,1.7102552517255147,0.0
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed44,Pseudomonas,50,0.2813519096096916,0.3249375912956388,0.9977858680486679,1.6224406385421752,0.0
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed42,Pseudomonas,50,0.272894105110176,0.297622407106994,0.9978399014472962,1.4982109781106314,0.0
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed43,Pseudomonas,50,0.273380499356364,0.3051548695034918,0.9978086870908737,1.7102552517255147,0.0
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed44,Pseudomonas,50,0.2813519096096916,0.3249375912956388,0.9977858680486679,1.6224406385421752,0.0
kleb_to_pseudomonas_structural_plus_random_diversity_seed42,Pseudomonas,50,0.26062164808871097,0.2856250160489484,0.9980954194068908,0.37697804709275556,0.0
kleb_to_pseudomonas_structural_plus_random_diversity_seed43,Pseudomonas,50,0.2518918478100909,0.2743905020838259,0.9979666900634766,0.41294066747029623,0.0
kleb_to_pseudomonas_structural_plus_random_diversity_seed44,Pseudomonas,50,0.24256693542538524,0.2774265634807126,0.9982210451364517,0.32091734846433007,0.0
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed42,Pseudomonas,50,0.2612948893289545,0.2856250160489484,0.9980853801965713,0.40561406791210175,0.0
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed43,Pseudomonas,50,0.2518918478100909,0.2743905020838259,0.9979666900634766,0.41294066747029623,0.0
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed44,Pseudomonas,50,0.24256693542538524,0.2774265634807126,0.9982210451364517,0.32091734846433007,0.0
kleb_to_pseudomonas_structural_random_diversity_seed42,Pseudomonas,50,0.26062164808871097,0.2856250160489484,0.9980954194068908,0.37697804709275556,0.0
kleb_to_pseudomonas_structural_random_diversity_seed43,Pseudomonas,50,0.2518918478100909,0.2743905020838259,0.9979666900634766,0.41294066747029623,0.0
kleb_to_pseudomonas_structural_random_diversity_seed44,Pseudomonas,50,0.24256693542538524,0.2774265634807126,0.9982210451364517,0.32091734846433007,0.0
kleb_to_pseudomonas_structural_random_no_diversity_seed42,Pseudomonas,50,0.2612948893289545,0.2856250160489484,0.9980853801965713,0.40561406791210175,0.0
kleb_to_pseudomonas_structural_random_no_diversity_seed43,Pseudomonas,50,0.2518918478100909,0.2743905020838259,0.9979666900634766,0.41294066747029623,0.0
kleb_to_pseudomonas_structural_random_no_diversity_seed44,Pseudomonas,50,0.24256693542538524,0.2774265634807126,0.9982210451364517,0.32091734846433007,0.0
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed42,Enterobacter,50,0.6038416276985344,0.6266772435692393,0.9977484267950057,1.5286150391896567,0.24
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed43,Enterobacter,50,0.6143562701003246,0.6450793294945086,0.9978181946277619,1.5025263587633768,0.12
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed44,Enterobacter,50,0.6099925938829663,0.6443516525528517,0.9978035038709641,1.402606519063314,0.18
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed42,Pseudomonas,50,0.272832475342081,0.297622407106994,0.9977966928482056,1.541077091693878,0.0
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed43,Pseudomonas,50,0.265689003245119,0.295738505892396,0.997776267528534,1.7302537314097086,0.0
