run,dataset,target,method,seed,mean_score,max_score,min_score,median_score,diversity,unique_mutation_sites,seed_similarity,seed_novelty,best_delta_target_score,mean_delta_target_score_top_k
kleb_to_pseudomonas_structural_random_no_diversity_seed43,structural,Pseudomonas,random_no_diversity,43.0,0.2518918478100908,0.2743905020838259,0.2431995816505796,0.250289187717901,16.173061224489796,104.0,0.9993669534,0.0006330454355999,0.15330632645251258,0.14330858980477335
kleb_to_pseudomonas_structural_random_no_diversity_seed44,structural,Pseudomonas,random_no_diversity,44.0,0.2425669354253852,0.2774265634807126,0.2319988987380611,0.2397806362019807,16.358367346938774,100.0,0.9995585848,0.0004414141154,0.15634238784939924,0.1373389736803449
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed42,structural,Enterobacter,entropy_diversity_novelty,42.0,0.6038416276985344,0.6266772435692393,0.5951286047680119,0.6028032556415996,11.16734693877551,33.0,0.9990363442897796,0.0009636557102202,0.22402210464643024,0.21012287015194647
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed43,structural,Enterobacter,entropy_diversity_novelty,43.0,0.6143562701003246,0.6450793294945086,0.6042545945394437,0.612152020967726,7.631836734693877,31.0,0.999046983718872,0.0009530162811278,0.24242419057169962,0.225168145332377
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed44,structural,Enterobacter,entropy_diversity_novelty,44.0,0.6099925938829663,0.6443516525528517,0.6005602575373779,0.6076465916436636,13.01469387755102,35.0,0.9990436613559724,0.0009563386440276,0.24169651363004263,0.22111881497220195
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed42,structural,Pseudomonas,entropy_diversity_novelty,42.0,0.272832475342081,0.297622407106994,0.2617445066578795,0.2707458031855381,12.321632653061224,36.0,0.9991272282600404,0.0008727717399596,0.17653823147568065,0.1678107530367901
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed43,structural,Pseudomonas,entropy_diversity_novelty,43.0,0.265689003245119,0.295738505892396,0.2499300984666584,0.262450825787312,11.903673469387757,34.0,0.9990945267677308,0.0009054732322692,0.17465433026108262,0.15904470044902524
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed44,structural,Pseudomonas,entropy_diversity_novelty,44.0,0.2826537760324411,0.3249375912956388,0.2272524429344502,0.2813749129869861,11.266938775510203,38.0,0.9990869569778442,0.0009130430221557,0.20385341566432547,0.1700159796350456
optionA_kleb_to_enterobacter_structural_entropy_diversity_novelty_l2_seed42,structural,Enterobacter,entropy_diversity_novelty,42.0,0.6039155633218384,0.6266772435692393,0.5957890677793981,0.6028032556415996,11.360816326530612,35.0,0.9990510213375092,0.0009489786624907,0.22402210464643024,0.20995465755777465
optionA_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5_seed42,structural,Enterobacter,entropy_diversity_novelty,42.0,0.6038416276985344,0.6266772435692393,0.5951286047680119,0.6028032556415996,11.16734693877551,33.0,0.9990363442897796,0.0009636557102202,0.22402210464643024,0.21012287015194647
optionA_kleb_to_enterobacter_structural_entropy_diversity_seed42,structural,Enterobacter,entropy_diversity,42.0,0.6039351387363392,0.6266772435692393,0.5962563668440573,0.6028032556415996,11.235918367346938,34.0,0.9990915071964264,0.0009084928035735,0.22402210464643024,0.21012287015194647
optionA_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l2_seed42,structural,Pseudomonas,entropy_diversity_novelty,42.0,0.2730267825483138,0.297622407106994,0.2617445066578795,0.2716410308051069,12.394285714285717,40.0,0.9991347229480744,0.0008652770519256,0.17653823147568065,0.16621995643363885
optionA_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5_seed42,structural,Pseudomonas,entropy_diversity_novelty,42.0,0.272832475342081,0.297622407106994,0.2617445066578795,0.2707458031855381,12.321632653061224,36.0,0.9991272282600404,0.0008727717399596,0.17653823147568065,0.1678107530367901
